,pretty_formula,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
688,Ir7Ni2Ta91,Ir7 Ni2 Ta91,0.025482447,0.030559696,0.179691093,1.5572,0.454338563,5.38,2.976095237,3,0,179.2916288,42.79193247,1.441,0.070113953,53.28,9.976442841,1.28E-07,64.19,58.84308288,3220.19,625.467479,-0.044321888,0.104712042,0,0.176963351,0.718324607,0.609946013,0.023927162,0.118323352,0.118323352
689,Ir7Ni3Ta90,Ir7 Ni3 Ta90,0.026358786,0.031369538,0.167398394,1.5613,0.439532065,5.43,3.024600547,3,0,178.069084,49.37100481,1.44,0.069899882,53.43,10.00138427,1.27E-07,64.53,56.27840578,3204.57,687.8387729,-0.055676228,0.105207785,0,0.180431352,0.714360863,0.633037523,0.026986937,0.117899648,0.117899648
690,Ir7Ni4Ta89,Ir7 Ni4 Ta89,0.027236207,0.032127141,0.155420576,1.5654,0.427149858,5.48,3.063057906,3,0,176.8465392,54.12088943,1.439,0.06972068,53.58,10.02073322,1.26E-07,64.87,54.11255235,3188.95,734.4370991,-0.066855213,0.105708245,0,0.183932347,0.710359408,0.648658048,0.029688426,0.117515993,0.117515993
691,Ir7Ni5Ta88,Ir7 Ni5 Ta88,0.02811471,0.032832506,0.143836327,1.5695,0.416627099,5.53,3.094227499,3,0,175.6239944,57.75567438,1.438,0.06956721,53.73,10.03593452,1.26E-07,65.21,52.25553707,3173.33,770.7781167,-0.077867777,0.106213489,0,0.187466808,0.706319703,0.659294625,0.032121795,0.117171673,0.117171673
692,Ir7Ni6Ta87,Ir7 Ni6 Ta87,-0.032300124,0.032300124,0.132748718,1.5736,0.407564032,5.58,3.119938356,3,0,174.4014496,60.64456411,1.437,0.069433219,53.88,10.0479668,1.25E-07,65.55,50.64324093,3157.71,799.9948473,-0.088728071,0.106723586,0,0.191035219,0.702241195,0.666423207,0.034343746,0.116870932,0.116870932
693,Ir7Ni7Ta86,Ir7 Ni7 Ta86,-0.030634548,0.030634548,0.122292909,1.5777,0.399669207,5.63,3.141451111,3,0,173.1789048,63.00418634,1.436,0.069314279,54.03,10.05751616,1.24E-07,65.89,49.22860253,3142.09,824.0300155,-0.099452232,0.107238606,0,0.19463807,0.698123324,0.67099988,0.036392704,0.1166205,0.111488322
694,Ir7Ni8Ta85,Ir7 Ni8 Ta85,-0.028969758,0.028969758,0.112644968,1.5818,0.392724786,5.68,3.159663127,3,0,171.95636,64.97224493,1.435,0.069207166,54.18,10.0650775,1.24E-07,66.23,47.97621421,3126.47,844.163969,-0.110056144,0.107758621,0,0.198275862,0.693965517,0.673678453,0.038296138,0.116427908,0.104214838
695,Ir7Ni9Ta84,Ir7 Ni9 Ta84,-0.027305756,0.027305756,0.10402991,1.5859,0.38656447,5.73,3.17523063,3,0,170.7338152,66.64134036,1.434,0.069109474,54.33,10.07101649,1.23E-07,66.57,46.85887036,3110.85,861.2797446,-0.120554219,0.108283703,0,0.201949107,0.68976719,0.674923065,0.040074493,0.116300534,0.0969109
696,Ir7Ni10Ta83,Ir7 Ni10 Ta83,-0.02564254,0.025731576,0.096724121,1.59,0.381058974,5.78,3.188644606,3,0,169.5112704,68.07642723,1.433,0.069019368,54.48,10.07560883,1.23E-07,66.91,45.85528642,3095.23,876.0083745,-0.130958836,0.108813928,0,0.205658324,0.685527748,0.675072469,0.041743473,0.116245086,0.089566798
697,Ir7Ni11Ta82,Ir7 Ni11 Ta82,-0.023980112,0.024371316,0.091043335,1.5941,0.376106181,5.83,3.200279688,3,0,168.2887256,69.32460232,1.432,0.068935424,54.63,10.07906605,1.22E-07,67.25,44.94854682,3079.61,888.813932,-0.141280153,0.109349371,0,0.209404046,0.681246583,0.674379296,0.043315444,0.11626735,0.082174429
698,Ir7Ni12Ta81,Ir7 Ni12 Ta81,-0.02231847,0.023065163,0.077172246,1.5982,0.371624301,5.88,3.210426636,3,0,167.0661808,70.42094381,1.431,0.068856517,54.78,10.08155285,1.21E-07,67.59,44.12502193,3063.99,900.0459184,-0.151526094,0.10989011,0,0.213186813,0.676923077,0.673035248,0.044800348,0.116372085,0.074727447
699,Ir7Ni13Ta80,Ir7 Ni13 Ta80,-0.020657615,0.021813117,0.063420992,1.6023,0.36754701,5.93,3.219314493,3,0,165.843636,71.39216812,1.43,0.068781745,54.93,10.08319913,1.21E-07,67.93,43.37359538,3048.37,909.9728895,-0.161702425,0.110436223,0,0.217007178,0.672556599,0.671187897,0.046206314,0.11656299,0.067221291
700,Ir7Ni14Ta79,Ir7 Ni14 Ta79,-0.018997547,0.02061518,0.049888765,1.6064,0.363819928,5.98,3.227126063,3,0,164.6210912,72.25901179,1.429,0.068710374,55.08,10.08410844,1.20E-07,68.27,42.68510195,3032.75,918.8047894,-0.171812872,0.110987791,0,0.220865705,0.668146504,0.668952226,0.047540088,0.116842708,0.059653156
701,Ir7Ni15Ta78,Ir7 Ni15 Ta78,-0.017338265,0.01947135,0.03681787,1.6105,0.360398027,6.03,3.234008942,3,0,163.3985464,73.0378342,1.428,0.068641801,55.23,10.08436407,1.19E-07,68.61,42.05191151,3017.13,926.708217,-0.181859236,0.111544897,0,0.224762967,0.663692136,0.666418761,0.048807332,0.117212858,0.048601714
702,Ir7Ni16Ta77,Ir7 Ni16 Ta77,-0.015679771,0.018381628,0.024944383,1.6146,0.357243682,6.08,3.240083527,3,0,162.1760016,73.74172603,1.427,0.068575522,55.38,10.08403354,1.19E-07,68.95,41.46761624,3001.51,933.8171225,-0.191841513,0.112107623,0,0.228699552,0.659192825,0.66365941,0.050012854,0.117674057,0.035207535
703,Ir7Ni17Ta76,Ir7 Ni17 Ta76,-0.014022064,0.017346013,0.016996732,1.6187,0.354325198,6.13,3.24544893,3,0,160.9534568,74.38129422,1.426,0.068511112,55.53,10.08317188,1.18E-07,69.29,40.92679215,2985.89,940.2404642,-0.201758001,0.112676056,0,0.232676056,0.654647887,0.660731751,0.051160769,0.118225968,0.021752796
704,Ir7Ni18Ta75,Ir7 Ni18 Ta75,-0.016011721,0.016011721,0.018856181,1.6228,0.351615675,6.18,3.250187401,3,0,159.730912,74.96522935,1.425,0.06844821,55.68,10.08182416,1.18E-07,69.63,40.42481499,2970.27,946.0677939,-0.211605405,0.113250283,0,0.236693092,0.650056625,0.657682207,0.052254631,0.118867324,0.008241001
705,Ir7Ni19Ta74,Ir7 Ni19 Ta74,-0.014552986,0.014552986,0.028674418,1.6269,0.349092128,6.23,3.254367694,3,0,158.5083672,75.50072321,1.424,0.068386502,55.83,10.08002737,1.17E-07,69.97,39.95771647,2954.65,951.3733996,-0.221378927,0.113830393,0,0.240751281,0.645418327,0.654548443,0.053297525,0.119595974,-0.005322956
706,Ir7Ni20Ta73,Ir7 Ni20 Ta73,-0.013094492,0.013094492,0.021285235,1.631,0.346734786,6.28,3.258047647,3,0,157.2858224,75.99378108,1.423,0.068325717,55.98,10.0778119,1.16E-07,70.31,39.52207078,2939.03,956.2194244,-0.231072354,0.114416476,0,0.244851259,0.640732265,0.651361193,0.054292152,0.120408914,-0.014320763
707,Ir7Ni21Ta72,Ir7 Ni21 Ta72,-0.011636238,0.011636238,0.007284314,1.6351,0.34452655,6.33,3.261276181,3,0,156.0632776,76.44945863,1.422,0.068265615,56.13,10.07520266,1.16E-07,70.65,39.11490417,2923.41,960.6582467,-0.24067814,0.115008626,0,0.248993675,0.6359977,0.648145669,0.05524088,0.121302325,-0.020455062
708,Ir7Ni22Ta71,Ir7 Ni22 Ta71,-0.010178226,0.010178226,0.007284314,1.6392,0.342452546,6.38,3.264094884,3,0,154.8407328,76.87204398,1.421,0.068205982,56.28,10.07222001,1.15E-07,70.99,38.73362226,2907.79,964.734318,-0.25018749,0.115606936,0,0.253179191,0.631213873,0.644922656,0.056145802,0.122271613,-0.026619211
709,Ir7Ni23Ta70,Ir7 Ni23 Ta70,-0.008720454,0.008720454,0.021285235,1.6433,0.340499769,6.43,3.266539245,3,0,153.618188,77.26519927,1.42,0.068146628,56.43,10.06888042,1.14E-07,71.33,38.37595109,2892.17,968.4855985,-0.259590429,0.116211505,0,0.257408483,0.626380012,0.641709373,0.057008771,0.123311444,-0.03280346
710,Ir7Ni24Ta69,Ir7 Ni24 Ta69,-0.007262922,0.007262922,0.035398605,1.6474,0.338656798,6.48,3.268639656,3,0,152.3956432,77.63207183,1.419,0.068087376,56.58,10.06519709,1.14E-07,71.67,38.03988906,2876.55,971.9446894,-0.26887589,0.11682243,0,0.261682243,0.621495327,0.638520149,0.057831434,0.124415792,-0.038997024
711,Ir7Ni25Ta68,Ir7 Ni25 Ta68,-0.005805632,0.005992072,0.021602469,1.6515,0.33691355,6.53,3.270422208,3,0,151.1730984,77.97538255,1.418,0.068028067,56.73,10.06118035,1.13E-07,72.01,37.7236673,2860.93,975.1397342,-0.27803178,0.117439812,0,0.266001174,0.616559014,0.635366973,0.058615257,0.125577979,-0.045188151
712,Ir7Ni26Ta67,Ir7 Ni26 Ta67,-0.004348582,0.005249851,0.008164966,1.6556,0.335261092,6.58,3.271909339,3,0,149.9505536,78.29749646,1.417,0.067968553,56.88,10.05683805,1.12E-07,72.35,37.42571693,2845.31,978.0951428,-0.287045067,0.118063754,0,0.270365998,0.611570248,0.632259925,0.059361549,0.126790723,-0.051364198
713,Ir7Ni27Ta66,Ir7 Ni27 Ta66,-0.002891772,0.004666176,0.008164966,1.6597,0.333691474,6.63,3.27312036,3,0,148.7280088,78.60047986,1.416,0.067908693,57.03,10.05217584,1.12E-07,72.69,37.1446418,2829.69,980.8321767,-0.295901856,0.118694362,0,0.274777448,0.60652819,0.62920753,0.06007148,0.12804619,-0.057511708
714,Ir7Ni28Ta65,Ir7 Ni28 Ta65,-0.001435204,0.004224158,0.009258201,1.6638,0.332197593,6.68,3.27407189,3,0,147.505464,78.88614673,1.415,0.067848356,57.18,10.0471974,1.11E-07,73.03,36.87919564,2814.07,983.3694266,-0.30458747,0.119331742,0,0.279236277,0.601431981,0.626217047,0.060746098,0.129336044,-0.063616488
715,Ir7Ni29Ta64,Ir7 Ni29 Ta64,2.11E-05,0.003836794,0.005345225,1.6679,0.330773079,6.73,3.274778209,3,0,146.2829192,79.15609679,1.414,0.067787415,57.33,10.04190462,1.11E-07,73.37,36.62826282,2798.45,985.7232037,-0.313086536,0.119976005,0,0.283743251,0.596280744,0.623294701,0.061386339,0.130651507,-0.069663693
