,pretty_formula,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
514,La5Al19C76,La5 Al19 C76,0.021372376,0.021792923,0.028503971,2.2989,0.739628285,13.26,3.851192435,2.05,0.351798772,21.19989783,44.59465746,0.867,0.529758024,89.05,22.80188024,7.64E-06,151.7,78.81862875,3125.0093,1940.650755,2.126255211,0.531914894,0.454787234,0.013297872,0,0.441606873,0.34578178,0.175741148,-0.209630814
515,La5Al20C75,La5 Al20 C75,0.014564854,0.017714945,0.035790945,2.2895,0.736025505,13.25,3.794566402,2.05,0.346775381,21.34960622,43.94254491,0.8725,0.524992465,88.9,22.50119547,7.54E-06,152.65,78.77909348,3096.344,1940.957308,2.073598952,0.533333333,0.453333333,0.013333333,0,0.439172036,0.346324204,0.177372335,-0.220742994
516,La5Al21C74,La5 Al21 C74,0.007754768,0.013905143,0.021931524,2.2801,0.73266897,13.24,3.742052528,2.05,0.342129705,21.49931461,43.33744368,0.878,0.520562875,88.75,22.22180295,7.44E-06,153.6,78.75228333,3067.6787,1941.160573,2.021585592,0.534759358,0.451871658,0.013368984,0,0.436566874,0.346707721,0.179005197,-0.23151147
517,La5Al22C73,La5 Al22 C73,0.009760624,0.012764774,0.008999541,2.2707,0.729531704,13.23,3.69328,2.05,0.337828097,21.64902299,42.77508943,0.8835,0.516435194,88.6,21.96169834,7.34E-06,154.55,78.73714169,3039.0134,1941.269207,1.97023505,0.536193029,0.450402145,0.013404826,0,0.433817958,0.346938977,0.180619539,-0.241903521
518,La5Al23C72,La5 Al23 C72,0.003407342,0.015932322,0.008999541,2.2613,0.726590409,13.22,3.647926457,2.05,0.333841315,21.79873138,42.2517748,0.889,0.512579897,88.45,21.71913955,7.24E-06,155.5,78.73277783,3010.3481,1941.290457,1.919567157,0.537634409,0.448924731,0.01344086,0,0.430947927,0.347024153,0.182194768,-0.251887714
519,La5Al24C71,La5 Al24 C71,-0.002943193,0.018837007,0.021931524,2.2519,0.723824853,13.21,3.605710376,2.05,0.330143835,21.94843976,41.7642618,0.8945,0.50897126,88.3,21.49260522,7.14E-06,156.45,78.73843949,2981.6828,1941.2304,1.869600932,0.539083558,0.447439353,0.013477089,0,0.427976136,0.346969007,0.183710283,-0.26143447
520,La5Al25C70,La5 Al25 C70,-0.009290981,0.021897251,0.035790945,2.2425,0.72121737,13.2,3.566384882,2.05,0.326713289,22.09814815,41.3097106,0.9,0.505586766,88.15,21.28076095,7.04E-06,157.4,78.75349109,2953.0175,1941.094128,1.82035399,0.540540541,0.445945946,0.013513514,0,0.424919186,0.346778908,0.18514585,-0.270516504
521,La5Al26C69,La5 Al26 C69,-0.015636021,0.027674453,0.034804279,2.2331,0.718752454,13.19,3.529732678,2.05,0.323530001,22.24785654,40.88562126,0.9055,0.502406615,88,21.08243176,6.94E-06,158.35,78.77739612,2924.3522,1940.885902,1.771842087,0.54200542,0.444444444,0.013550136,0,0.421791358,0.346458861,0.18648193,-0.279109182
522,La5Al27C68,La5 Al27 C68,-0.021978313,0.033448909,0.020745734,2.2237,0.716416436,13.18,3.495561877,2.05,0.320576612,22.39756492,40.48978567,0.911,0.49941333,87.85,20.89657932,6.84E-06,159.3,78.80970294,2895.6869,1940.609267,1.724078756,0.543478261,0.442934783,0.013586957,0,0.418604966,0.346013543,0.187699988,-0.28719078
523,La5Al28C67,La5 Al28 C67,-0.028317859,0.039220617,0.007030868,2.2143,0.714197205,13.17,3.46370253,2.05,0.317837761,22.54727331,40.12024774,0.9165,0.496591423,87.7,20.72228307,6.74E-06,160.25,78.85003318,2867.0216,1940.267154,1.677075047,0.544959128,0.441416894,0.013623978,0,0.415370659,0.34544732,0.188782764,-0.294742681
524,La5Al29C66,La5 Al29 C66,-0.022191737,0.041880401,0.008275308,2.2049,0.712083987,13.16,3.434003749,2.05,0.315299827,22.69698169,39.7752702,0.922,0.493927122,87.55,20.55872455,6.64E-06,161.2,78.89807234,2838.3563,1939.861956,1.630839337,0.546448087,0.43989071,0.013661202,0,0.412097661,0.34476427,0.189714511,-0.301749495
525,La5Al30C65,La5 Al30 C65,-0.028014384,0.04371931,0.022080044,2.1955,0.710067152,13.15,3.406331279,2.05,0.312950706,22.84669008,39.45330671,0.9275,0.491408139,87.4,20.4051742,6.54E-06,162.15,78.95356197,2809.691,1939.395594,1.58537721,0.547945205,0.438356164,0.01369863,0,0.408793983,0.343968206,0.190481191,-0.308199132
526,La5Al31C64,La5 Al31 C64,0.041870223,0.041870223,0.03614659,2.1861,0.708138063,13.14,3.380565464,2.05,0.310779628,22.99639847,39.15297847,0.933,0.489023477,87.25,20.26098023,6.44E-06,163.1,79.01629341,2781.0257,1938.86957,1.540691406,0.549450549,0.436813187,0.013736264,0,0.405466588,0.343062692,0.191070637,-0.31408281
527,La5Al32C63,La5 Al32 C63,0.035347158,0.036988807,0.042426407,2.1767,0.706288934,13.13,3.35659952,2.05,0.308777,23.14610685,38.8730543,0.9385,0.486763267,87.1,20.1255593,6.34E-06,164.05,79.08610246,2752.3604,1938.285007,1.496781815,0.550964187,0.435261708,0.013774105,0,0.402121544,0.342051055,0.191472672,-0.319395027
528,La5Al33C62,La5 Al33 C62,0.028817491,0.03462273,0.028284271,2.1673,0.704512725,13.12,3.334338074,2.05,0.306934272,23.29581524,38.61243389,0.944,0.48461863,86.95,19.99838847,6.24E-06,165,79.16286517,2723.6951,1937.642683,1.453645519,0.552486188,0.433701657,0.013812155,0,0.398764146,0.340936406,0.191679194,-0.324133486
529,La5Al34C61,La5 Al34 C61,0.02228122,0.032499279,0.014142136,2.1579,0.702803038,13.11,3.313695915,2.05,0.305243827,23.44552362,38.37013334,0.9495,0.482581553,86.8,19.87899842,6.14E-06,165.95,79.24649434,2695.0298,1936.943063,1.411276882,0.55401662,0.432132964,0.013850416,0,0.395399018,0.339721647,0.191684218,-0.328298987
530,La5Al35C60,La5 Al35 C60,0.015738346,0.030618455,0,2.1485,0.701154042,13.1,3.29459693,2.05,0.30369888,23.59523201,38.145273,0.955,0.480644793,86.65,19.76696764,6.04E-06,166.9,79.33693663,2666.3645,1936.186316,1.369667662,0.555555556,0.430555556,0.013888889,0,0.392030206,0.338409484,0.191483881,-0.33189529
531,La5Al36C59,La5 Al36 C59,0.025755505,0.025755505,0.014142136,2.1391,0.699560393,13.09,3.27697319,2.05,0.302293401,23.7449404,37.93706687,0.9605,0.47880179,86.5,19.66191742,5.94E-06,167.85,79.43417034,2637.6992,1935.372336,1.328807165,0.557103064,0.428969359,0.013927577,0,0.388661253,0.337002442,0.191076422,-0.334928948
532,La5Al37C58,La5 Al37 C58,0.019762861,0.019762861,0.028284271,2.1297,0.698017181,13.08,3.260764172,2.05,0.301022041,23.89464878,37.74481368,0.966,0.477046586,86.35,19.56350756,5.84E-06,168.8,79.53820359,2609.0339,1934.500749,1.288682409,0.558659218,0.427374302,0.01396648,0,0.385295268,0.335502866,0.190462121,-0.337409126
533,La5Al38C57,La5 Al38 C57,0.013769195,0.013769195,0.042426407,2.1203,0.696519869,13.07,3.245916084,2.05,0.299880072,24.04435717,37.5678891,0.9715,0.475373764,86.2,19.47143268,5.74E-06,169.75,79.64907294,2580.3686,1933.570928,1.249278323,0.56022409,0.425770308,0.014005602,0,0.381934978,0.333912938,0.189643218,-0.339347398
534,La5Al39C56,La5 Al39 C56,0.007774507,0.007774507,0.045889184,2.1109,0.695064249,13.06,3.232381294,2.05,0.298863335,24.19406555,37.40573912,0.977,0.473778392,86.05,19.38541905,5.64E-06,170.7,79.76684245,2551.7033,1932.581996,1.210577943,0.561797753,0.424157303,0.014044944,0,0.378582781,0.332234676,0.188623802,-0.340757534
535,La5Al40C55,La5 Al40 C55,0.001778797,0.005999863,0.031797489,2.1015,0.693646399,13.05,3.220117836,2.05,0.297968198,24.34377394,37.25787437,0.9825,0.47225597,85.9,19.3052218,5.54E-06,171.65,79.89160296,2523.038,1931.532826,1.172562633,0.563380282,0.422535211,0.014084507,0,0.375240788,0.33046995,0.187409691,-0.341655281
536,La5Al41C54,La5 Al41 C54,-0.004217935,0.007738807,0.017786048,2.0921,0.692262649,13.04,3.209088989,2.05,0.297191515,24.49348233,37.12386525,0.988,0.47080239,85.75,19.23062262,5.44E-06,172.6,80.02347183,2494.3727,1930.422045,1.135212302,0.564971751,0.420903955,0.014124294,0,0.371910862,0.328620479,0.186008285,-0.342058137
