,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
339,(Fe0.72B0.22Y0.06)98Nb2,4,Fe70.56 B21.56 Y5.88 Nb2,-0.001424771,0.013354484,0.041979215,1.834808,0.267888948,8.724,3.797671573,2.7844,0.611823145,48.82087518,32.58336425,1.30594,0.381718952,64.1132,21.17342528,2.16E+11,64.3488,36.67131116,1945.0672,370.6671485,-0.214615408,0.301461632,0.032825822,0.665712546,0,0.657227366,0.176615315,0.107616656,0.082740132
341,Cu46 Zr37 Al7 Y10,4,Cu46 Zr37 Al7 Y10,-0.012687346,0.012955129,0.030510067,1.6008,0.360688768,7.75,4.73081555,2.93,0.319784329,73.7633327,23.00650864,1.462,0.190926771,59.35,20.25161781,2.30E-07,210.66,228.7556815,1657.1771,504.3480247,-0.529903474,0.218439716,0.009929078,0.771631206,0,0.651884089,0.128752733,0.122403606,-0.11199428
342,Mg61.5Cu29.5Gd9,4,Mg61.5 Cu29.5 Gd9,0.015658338,0.018875105,0.044727162,1.47415,0.381956263,5.375,5.888997412,1.77,1.341024999,47.846145,53.2039208,1.48275,0.165585236,68.565,18.02272767,1.50E-07,217.39,172.6394573,1110.83715,337.3109105,-0.125296972,0.317209302,0,0.565581395,0.117209302,1.384697299,0.112524719,0.056380717,-0.005570068
343,Mg63.5Cu27.5Gd9,4,Mg63.5 Cu27.5 Gd9,0.010613121,0.014652737,0.038508077,1.46235,0.378770979,5.195,5.894663005,1.73,1.344260522,47.061325,54.00450928,1.48575,0.165687562,68.585,18.26841714,1.51E-07,212.59,171.400111,1102.14175,340.0672825,-0.121617435,0.332050048,0,0.5466795,0.121270452,1.396254314,0.109701366,0.05563551,-0.023483095
344,Mg59Cu31Gd10,4,Mg59 Cu31 Gd10,0.018131816,0.021235419,0.055577773,1.4819,0.381822667,5.59,5.841107908,1.82,1.331469321,49.76421,54.08591678,1.4835,0.16961767,68.09,18.54954346,1.62E-07,219.5,174.0590049,1123.9787,337.1188728,-0.138521742,0.302325581,0,0.572450805,0.125223614,1.333736326,0.115428569,0.059184592,0.005286895
345,Mg61Cu29Gd10,4,Mg61 Cu29 Gd10,0.013088928,0.017106807,0.04189935,1.4701,0.378632624,5.41,5.849027933,1.78,1.335174201,48.97939,54.83669075,1.4865,0.169536151,68.11,18.76567161,1.63E-07,214.7,172.7611158,1115.2833,339.8938875,-0.134791167,0.316081331,0,0.554528651,0.129390018,1.345590026,0.112731759,0.058387167,-0.012631045
346,Mg63Cu27Gd10,4,Mg63 Cu27 Gd10,0.008040457,0.012972611,0.044969125,1.4583,0.375130658,5.23,5.855674798,1.74,1.338800785,48.19457,55.67534568,1.4895,0.16960926,68.13,19.01824838,1.63E-07,209.9,171.3981786,1106.5879,342.8755872,-0.130664146,0.330783939,0,0.535372849,0.133843212,1.357619483,0.109835161,0.057561053,-0.030281606
348,Fe43Cr16Mo16C15B9Sm1,4,Fe43 Cr16 Mo16 C15 B9 Sm1,0.01384833,0.020114625,0.05102355,1.9759,0.344162983,8.71,3.389978331,2.76,0.498770994,51.961321,33.12629294,1.258,0.336427267,66.58,17.16244075,90000000000,95.24,40.35038843,2385.75,826.989383,0.279067176,0.266244057,0.061806656,0.662440571,0.009508716,0.849441309,0.187933277,0.219786136,-0.140168385
349,Fe43Cr16Mo16C15B4Sm6,4,Fe43 Cr16 Mo16 C15 B4 Sm6,-0.006321106,0.019683208,0.032831125,1.9324,0.399031427,8.46,3.185047244,2.81,0.457215983,58.938771,39.61476932,1.308,0.349031337,63.68,18.90501573,40000000000,94.54,41.99921734,2335.55,866.7029704,0.163873233,0.256097561,0.051829268,0.637195122,0.054878049,0.898163976,0.206954854,0.231656492,-0.164265334
350,Sm55 Al25 Co20,4,Sm55 Al25 Co20,0.001363702,0.023348601,0.070710678,1.422,0.379553032,9.45,2.70309502,2.75,0.561360891,101.2300237,71.75563975,1.6,0.360904559,48.2,29.76546981,5.36E-07,85.9,119.6661322,1326.7175,361.5809948,-0.613917578,0.287769784,0.035971223,0.201438849,0.474820144,0.319960247,0.160375075,0.110342296,-0.18249133
351,Ce65 Al10 Cu25,4,Ce65 Al10 Cu25,-0.016006686,0.016006686,0.035355339,1.364,0.480457703,6.65,5.137225818,2.9,0.422158527,109.6600539,60.00193405,1.665,0.356759341,46.8,28.54074732,4.88E-07,130.65,237.6940687,1126.9895,195.6038338,-0.306140476,0.309734513,0.017699115,0.557522124,0.115044248,0.340343299,0.152469786,0.057561902,-0.024374588
352,Yb62.5 Zn15 Mg17.5 Cu5,4,Yb62.5 Zn15 Mg17.5 Cu5,-0.008876482,0.01938336,0.063737744,1.25925,0.328432731,12.7,6.990480467,2.65,1.02121956,125.392025,84.33138593,1.62625,0.223347961,38.4,37.14993111,1.74E-07,90.375,115.7796956,1018.9405,221.3288962,-0.254813962,0.153543307,0,0.157480315,0.688976378,0.698300093,0.126256414,0.051523851,0.021286678
353,La55Al20Ag5Cu20,4,La55 Al20 Ag5 Cu20,0.000952588,0.025738565,0.084983659,1.4035,0.446035381,7,5.702659485,2.8,0.51006137,99.89692622,59.36934615,1.6725,0.401458216,52.1,27.15178654,3.48E-07,155.65,213.9676577,1176.1445,174.3969546,-0.486795386,0.35,0.04,0.61,0,0.372036508,0.162474741,0.077206434,-0.131832805
354,La60Al24Ga6C10,4,La60 Al24 Ga6 C10,-0.024329574,0.028585836,0.021756755,1.41,0.602998835,7.1,6.667985102,2.6,0.649569802,95.20330126,72.55137255,1.618,0.576399416,53.36,33.49828385,1.38E-06,79.94,125.6170172,1338.0074,1126.89812,-0.337196806,0.540540541,0.135135135,0.324324324,0,0.195226794,0.218568601,0.094683591,-0.164201093
