,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
457,Cu60Hf17.5Ti22.5,3,Cu60 Hf17.5 Ti22.5,0.01766896,0.022023882,0.015701586,1.714,0.320971679,8.2,4.587698755,3,0,80.133425,61.19307274,1.39625,0.098520941,63.425,14.05609567,1.60E-07,248.975,247.4493576,1689.937,593.666927,-0.142042277,0.131455399,0,0.638497653,0.230046948,1.108950732,0.091237538,0.083095292,0.02041792
458,Cu45Zr25Ag10Hf20,3,Cu45 Zr25 Ag10 Hf20,-0.004480675,0.0065862,0.030618622,1.6405,0.354274729,7.85,4.207657253,3,0,97.88652,51.98423365,1.465,0.12686564,61.75,13.45918404,1.86E-07,233.35,230.1247757,1767.6895,598.6297735,-0.378346159,0.136150235,0,0.600938967,0.262910798,0.965482677,0.106826911,0.121314135,-0.064415465
459,Cu52.5Hf40Al7.5,3,Cu52.5 Hf40 Al7.5,0.005961203,0.00786255,0.020532843,1.63825,0.382607181,8.35,4.800727014,2.925,0.352364972,106.7812654,79.32413687,1.4225,0.143424091,63.8,15.32117016,1.47E-07,236.825,240.3107398,1785.2395,800.6093501,-0.316488551,0.111742424,0.005681818,0.458333333,0.424242424,0.698024608,0.108988568,0.102435704,-0.0700055
460,Cu50Hf42.5Al7.5,3,Cu50 Hf42.5 Al7.5,0.000609733,0.008148241,0.011785113,1.62325,0.383048659,8.175,4.828660738,2.925,0.350798898,109.6548654,79.79349014,1.4275,0.144331166,63.25,15.41373247,1.55E-07,227.4,240.6787888,1813.94525,805.4581922,-0.315701249,0.112149533,0.005607477,0.437383178,0.444859813,0.696943051,0.108991588,0.1029381,-0.071580952
461,Hf50Cu30Ni10Al10,3,Hf50 Cu30 Ni10 Al10,-0.008980041,0.010317826,0.046770717,1.572,0.355395906,7.6,4.582575695,2.9,0.375,116.8762939,78.04237712,1.44,0.141972709,61.3,14.59933646,1.85E-07,164.1,207.9899712,1926.478,757.7694977,-0.518068388,0.125,0.007352941,0.352941176,0.514705882,0.695099332,0.105281846,0.114905616,-0.075824958
462,Hf62Ni25Al13,3,Hf62 Ni25 Al13,0.00040551,0.024826915,0.131413043,1.4928,0.357020912,6.67,4.809132026,2.87,0.45926981,128.84475,87.52131196,1.461,0.160304401,58.15,15.13506887,2.32E-07,67.56,96.69208445,2107.0711,764.81673,-0.639961018,0.142348754,0.009252669,0.230604982,0.617793594,0.383611448,0.093102205,0.132234313,-0.188444546
463,(Fe0.9Co0.1)64.75Mo14C15B6Er0.25,3,Fe58.275 Co6.475 Mo14 C15 B6 Er0.25,0.020650246,0.021104313,0.049494062,1.9985625,0.334405491,8.99975,3.291766379,2.79,0.521289611,52.65961063,32.79163673,1.2666375,0.349756263,66.99675,17.30504624,60000000000,95.2125,40.49077307,2290.72325,945.335182,0.588848645,0.269574985,0.052175803,0.673901228,0.004347984,0.748947711,0.171587081,0.171868283,-0.060835079
464,Fe60.5Cr4Mo14C15B6Er0.5,3,Fe60.5 Cr4 Mo14 C15 B6 Er0.5,0.016919448,0.019244113,0.060794907,1.98705,0.354882895,8.87,3.464913442,2.79,0.531782028,52.584229,34.22047482,1.27075,0.359708912,66.545,18.08613043,60000000000,94.315,41.6960338,2308.245,953.8847396,0.586572441,0.268833087,0.053175775,0.669128508,0.008862629,0.713259771,0.173596688,0.16665796,-0.048129917
465,(Fe0.9Co0.1)58.5Cr6Mo14C18B3Er0.5,3,Fe52.65 Co5.85 Cr6 Mo14 C18 B3 Er0.5,0.018558574,0.020606026,0.04772345,2.001875,0.355901911,8.9185,3.346850202,2.79,0.500282601,52.72390141,32.15940837,1.263325,0.346761946,66.9105,17.56408692,30000000000,99.155,37.03135493,2356.6395,948.3547907,0.939095899,0.263987681,0.057197331,0.670015399,0.008799589,0.790550473,0.179097963,0.202992196,-0.129360376
466,Fe49Cr15Mo14C19B2Er1,3,Fe49 Cr15 Mo14 C19 B2 Er1,0.011408498,0.018535591,0.058549972,1.9858,0.379615576,8.72,3.499349826,2.79,0.493498541,52.765908,33.1275691,1.2665,0.348856765,66.27,18.19340136,20000000000,100.05,36.29104273,2406.83,928.819376,0.68056961,0.258308157,0.060422961,0.663141994,0.018126888,0.744047294,0.184560968,0.215439037,-0.151772889
