,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
4768,Ag20.9Pd62.6Si16.5,0,Ag20.9 Pd62.6 Si16.5,-0.005982149,0.008378305,0.044519659,2.09407,0.187392575,10.869,1.974223715,2.835,0.506418931,93.7974813,39.86131592,1.3923,0.207590215,72.058,7.92315875,0.000165071,159.692,193.4307173,1680.81467,320.342192,-0.227094734,0.058466211,0.035795639,0.905738149,0,0.43999634,0.088156012,0.092341621,0.004087247
4769,Ni58.5Pd25Si16.5,0,Ni58.5 Pd25 Si16.5,0.003686531,0.012060887,0.031819805,1.98085,0.167943062,10.66,1.969935103,2.835,0.492483776,65.5747465,34.51433107,1.32125,0.133414315,70.47,8.641466345,0.000165069,95.985,33.55960806,1746.2475,65.63180202,-0.298924875,0.166481687,0.036625971,0.796892342,0,0.566968794,0.080222692,0.115678217,-0.059591843
4770,B13Ni69Si18,0,B13 Ni69 Si18,0.023797738,0.023797738,0.079302515,1.9251,0.064704424,11.11,2.436682373,2.69,0.671338456,46.959266,26.32882629,1.24,0.258239689,72.71,12.37205059,1.30E+11,93.3,49.30554393,1801.35,308.1136534,-0.101029235,0.24968789,0.061173533,0.689138577,0,0.417151068,0.111182462,0.088408645,-0.007029593
4771,B10Ni72Si18,0,B10 Ni72 Si18,0.013504214,0.013504214,0.041096093,1.9212,0.060027316,11.02,2.497539773,2.72,0.677507486,48.395738,25.77851658,1.255,0.248973302,72.14,12.44298472,1.00E+11,95.22,48.15284749,1782.72,285.7913374,-0.091427098,0.243309002,0.055961071,0.700729927,0,0.401055349,0.101216493,0.084879801,0.001166025
4772,B6Ni76Si18,0,B6 Ni76 Si18,-0.000246545,0.006501256,0.032490326,1.916,0.050770461,10.9,2.598972563,2.76,0.687058723,50.311034,24.71008041,1.275,0.231035342,71.38,12.54346481,60000000000,97.78,46.2454631,1757.88,241.5670117,-0.078003665,0.235294118,0.049411765,0.715294118,0,0.37312982,0.085238444,0.081771877,0.009253128
4773,B5Mo75Si20,0,B5 Mo75 Si20,-0.001001048,0.024378769,0.070710678,2.102,0.165934256,7.95,5.383401588,2.75,0.688972818,78.11265,49.43681706,1.35,0.286842258,63.3,20.12052293,50000000000,135.6,40.24733657,2626.85,771.0832878,-0.025167773,0.229357798,0.082568807,0.688073394,0,0.563130431,0.11570705,0.110529048,0.038743183
4774,B15Mo65Si20,0,B15 Mo65 Si20,-0.009115696,0.009115696,0.061237244,2.09,0.144679089,8.65,5.048791069,2.65,0.664640935,69.59975,50.5134772,1.29,0.320497187,66.3,19.56368738,1.50E+11,124.4,57.32957013,2572.15,671.6719141,-0.091860346,0.262135922,0.106796117,0.631067961,0,0.571991818,0.154743195,0.116804231,-0.041579568
4775,B20Mo60Si20,0,B20 Mo60 Si20,0.007107857,0.010598399,0.062360956,2.084,0.137736809,9,4.928053803,2.6,0.654653671,65.3433,50.60487539,1.26,0.328416112,67.8,19.31690599,2.00E+11,118.8,61.60009276,2544.8,639.24699,-0.122668472,0.28,0.12,0.6,0,0.568544617,0.16905878,0.125205251,-0.103197642
4776,C10Ni70Si20,0,C10 Ni70 Si20,0.026219465,0.026219465,0.115920231,1.972,0.284131017,11.2,2.702655699,2.7,0.675663925,47.90355,25.05972403,1.235,0.300452557,73.4,14.90841606,0.00020105,107.7,37.80412906,1927,920.8379926,0.102007906,0.243902439,0.073170732,0.682926829,0,0.352945393,0.127421394,0.102180589,-0.049870934
4777,C5Ni75Si20,0,C5 Ni75 Si20,0.004146076,0.004695665,0.084983659,1.94,0.22275604,11,2.755891273,2.75,0.688972818,50.237685,23.85787646,1.2675,0.260567783,72,14.14213562,0.000200554,105.25,39.40017028,1823.4,721.977313,0.014909466,0.235294118,0.058823529,0.705882353,0,0.331993795,0.098078164,0.090244275,-0.015613449
4778,C0Ni80Si20,0,Ni80 Si20,-0.018002144,0.018002144,0.047140452,1.908,0.007071068,10.8,2.828427125,2.8,0.707106781,52.57182,21.64305365,1.3,0.176776695,70.6,12.72792206,0.000200058,102.8,41.71930009,1719.8,28.99137803,-0.135974326,0.227272727,0.045454545,0.727272727,0,0.279490727,0.052117264,0.083246683,0.009012817
4779,C10Ni67.5Si22.5,0,C10 Ni67.5 Si22.5,0.029849618,0.029849618,0.107529066,1.97175,0.277193157,11.3,2.693661811,2.675,0.673415453,47.1383525,24.70280706,1.22875,0.293287303,73.85,14.68902454,0.000226049,109.175,37.84899618,1925.975,898.4655589,0.091181819,0.248447205,0.080745342,0.670807453,0,0.347555665,0.12778717,0.107608626,-0.05880796
